Parameters,Sens,PPV,PocNum_Mean,PocNum_Max
m3.2_M5.6_i36_D1.65,0.857,0.667,1.38,3
m3.2_M5.6_i36_D1.7,0.857,0.667,1.38,3
m3.2_M5.8_i40_D1.65,0.857,0.667,1.38,3
m3.2_M5.8_i42_D1.7,0.857,0.667,1.38,3
m2.8_M5.5_i38_D1.55,0.857,0.632,1.46,3
m2.8_M5.5_i40_D1.55,0.857,0.632,1.46,3
m2.8_M5.5_i42_D1.55,0.857,0.632,1.46,3
m2.8_M5.5_i44_D1.55,0.857,0.632,1.46,3
m2.8_M5.6_i42_D1.5,0.857,0.632,1.46,3
m2.8_M5.6_i44_D1.5,0.857,0.632,1.46,3
m2.9_M5.5_i38_D1.55,0.857,0.632,1.46,3
m2.9_M5.5_i40_D1.6,0.857,0.632,1.46,3
m2.9_M5.6_i38_D1.5,0.857,0.632,1.46,3
m3.1_M5.8_i44_D1.7,0.857,0.632,1.46,3
m3.2_M5.7_i36_D1.65,0.857,0.632,1.46,3
m3.2_M5.7_i36_D1.7,0.857,0.632,1.46,3
m3.2_M5.7_i38_D1.65,0.857,0.632,1.46,3
m3.2_M5.7_i38_D1.7,0.857,0.632,1.46,3
m3.2_M5.8_i40_D1.7,0.857,0.632,1.46,3
m3.1_M5.8_i40_D1.5,0.857,0.632,1.46,4
m3.1_M5.8_i42_D1.5,0.857,0.632,1.46,4
m2.8_M5.5_i44_D1.6,0.857,0.6,1.54,3
m2.8_M5.6_i40_D1.5,0.857,0.6,1.54,3
m3.1_M5.8_i40_D1.55,0.857,0.6,1.54,4
m3.1_M5.8_i40_D1.6,0.857,0.6,1.54,4
m3.1_M5.8_i42_D1.55,0.857,0.6,1.54,4
m3.1_M5.8_i42_D1.6,0.857,0.6,1.54,4
m3.2_M5.8_i36_D1.65,0.857,0.6,1.54,4
m3.2_M5.8_i38_D1.65,0.857,0.6,1.54,4
m2.8_M5.4_i36_D1.55,0.857,0.571,1.62,3
m2.8_M5.6_i38_D1.5,0.857,0.571,1.62,3
m2.9_M5.5_i36_D1.55,0.857,0.571,1.62,3
m2.9_M5.6_i36_D1.5,0.857,0.571,1.62,3
m3.2_M5.8_i36_D1.7,0.857,0.571,1.62,4
m3.2_M5.8_i38_D1.7,0.857,0.571,1.62,4
m2.8_M5.5_i36_D1.55,0.857,0.522,1.77,3
m2.9_M5.4_i44_D1.55,0.846,0.846,1,2
m2.9_M5.4_i44_D1.6,0.846,0.846,1,2
m3.0_M5.4_i36_D1.55,0.846,0.846,1,2
m3.0_M5.4_i38_D1.55,0.846,0.846,1,2
m3.0_M5.4_i40_D1.55,0.846,0.846,1,2
m3.0_M5.4_i40_D1.6,0.846,0.846,1,2
m3.0_M5.4_i40_D1.65,0.846,0.846,1,2
m3.0_M5.4_i42_D1.7,0.846,0.846,1,2
m3.1_M5.4_i36_D1.55,0.846,0.846,1,2
m3.1_M5.4_i38_D1.55,0.846,0.846,1,2
m3.1_M5.4_i38_D1.6,0.846,0.846,1,2
m3.1_M5.4_i38_D1.65,0.846,0.846,1,2
m2.9_M5.4_i40_D1.55,0.846,0.786,1.08,2
m2.9_M5.4_i42_D1.55,0.846,0.786,1.08,2
m2.9_M5.4_i44_D1.65,0.846,0.786,1.08,2
m3.0_M5.4_i36_D1.6,0.846,0.786,1.08,2
m3.0_M5.4_i38_D1.6,0.846,0.786,1.08,2
m3.1_M5.4_i36_D1.6,0.846,0.786,1.08,2
m3.1_M5.4_i36_D1.65,0.846,0.786,1.08,2
m3.1_M5.4_i38_D1.7,0.846,0.786,1.08,2
m2.9_M5.4_i42_D1.6,0.846,0.733,1.15,2
m2.9_M5.5_i44_D1.55,0.846,0.733,1.15,2
m3.0_M5.4_i38_D1.65,0.846,0.733,1.15,2
m3.0_M5.5_i40_D1.55,0.846,0.733,1.15,2
m3.0_M5.5_i40_D1.6,0.846,0.733,1.15,2
m3.0_M5.5_i42_D1.55,0.846,0.733,1.15,2
m3.0_M5.5_i42_D1.6,0.846,0.733,1.15,2
m2.8_M5.4_i44_D1.55,0.846,0.688,1.23,2
m2.9_M5.5_i42_D1.55,0.846,0.688,1.23,2
m2.9_M5.5_i44_D1.6,0.846,0.688,1.23,2
m3.0_M5.4_i36_D1.65,0.846,0.688,1.23,2
m2.9_M5.4_i40_D1.6,0.846,0.688,1.23,3
m2.9_M5.4_i42_D1.65,0.846,0.688,1.23,3
m2.9_M5.4_i38_D1.55,0.846,0.647,1.31,2
m2.9_M5.5_i42_D1.6,0.846,0.647,1.31,2
m2.8_M5.4_i44_D1.6,0.846,0.647,1.31,3
m2.9_M5.4_i40_D1.65,0.846,0.647,1.31,3
m2.8_M5.4_i38_D1.55,0.846,0.611,1.38,2
m2.8_M5.4_i40_D1.55,0.846,0.611,1.38,2
m2.8_M5.4_i42_D1.55,0.846,0.611,1.38,2
m2.9_M5.4_i36_D1.55,0.846,0.611,1.38,2
m2.8_M5.4_i44_D1.65,0.846,0.611,1.38,3
m2.8_M5.4_i38_D1.6,0.846,0.579,1.46,3
m2.8_M5.4_i40_D1.6,0.846,0.579,1.46,3
m2.8_M5.4_i42_D1.6,0.846,0.579,1.46,3
m2.9_M5.4_i38_D1.6,0.846,0.579,1.46,3
m2.8_M5.4_i38_D1.65,0.846,0.524,1.62,3
m2.8_M5.4_i40_D1.65,0.846,0.524,1.62,3
m2.8_M5.4_i42_D1.65,0.846,0.524,1.62,3
m2.9_M5.4_i38_D1.65,0.846,0.524,1.62,3
m3.1_M5.7_i44_D1.5,0.786,0.917,0.923,2
m3.1_M5.7_i44_D1.55,0.786,0.786,1.08,2
m3.1_M5.7_i44_D1.6,0.786,0.786,1.08,2
m3.1_M5.8_i44_D1.5,0.786,0.786,1.08,2
m3.2_M5.5_i38_D1.7,0.786,0.786,1.08,2
m3.1_M5.6_i42_D1.55,0.786,0.733,1.15,2
m3.1_M5.6_i42_D1.6,0.786,0.733,1.15,2
m3.2_M5.8_i44_D1.65,0.786,0.733,1.15,2
m3.0_M5.5_i36_D1.5,0.786,0.688,1.23,2
m3.0_M5.5_i38_D1.5,0.786,0.688,1.23,2
m3.0_M5.6_i42_D1.5,0.786,0.688,1.23,2
m3.0_M5.6_i44_D1.5,0.786,0.688,1.23,2
m3.1_M5.5_i36_D1.5,0.786,0.688,1.23,2
